"okres_lau_kod","okres_nazev"
"CZ0100","Praha"
"CZ0201","Benesov"
"CZ0202","Beroun"
"CZ0203","Kladno"
"CZ0204","Kolin"
"CZ0205","Kutna Hora"
"CZ0206","Melnik"
"CZ0207","Mlada Boleslav"
"CZ0208","Nymburk"
"CZ0209","Praha-vychod"
"CZ020A","Praha-zapad"
"CZ020B","Pribram"
"CZ020C","Rakovnik"
"CZ0311","Ceske Budejovice"
"CZ0312","Cesky Krumlov"
"CZ0313","Jindrichuv Hradec"
"CZ0314","Pisek"
"CZ0315","Prachatice"
"CZ0316","Strakonice"
"CZ0317","Tabor"
"CZ0321","Domazlice"
"CZ0322","Klatovy"
"CZ0323","Plzen-mesto"
"CZ0324","Plzen-jih"
"CZ0325","Plzen-sever"
"CZ0326","Rokycany"
"CZ0327","Tachov"
"CZ0411","Cheb"
"CZ0412","Karlovy Vary"
"CZ0413","Sokolov"
"CZ0421","Decin"
"CZ0422","Chomutov"
"CZ0423","Litomerice"
"CZ0424","Louny"
"CZ0425","Most"
"CZ0426","Teplice"
"CZ0427","Usti nad Labem"
"CZ0511","Ceska Lipa"
"CZ0512","Jablonec nad Nisou"
"CZ0513","Liberec"
"CZ0514","Semily"
"CZ0521","Hradec Kralove"
"CZ0522","Jicin"
"CZ0523","Nachod"
"CZ0524","Rychnov nad Kneznou"
"CZ0525","Trutnov"
"CZ0531","Chrudim"
"CZ0532","Pardubice"
"CZ0533","Svitavy"
"CZ0534","Usti nad Orlici"
"CZ0631","Havlickuv Brod"
"CZ0632","Jihlava"
"CZ0633","Pelhrimov"
"CZ0634","Trebic"
"CZ0635","Zdar nad Sazavou"
"CZ0641","Blansko"
"CZ0642","Brno-mesto"
"CZ0643","Brno-venkov"
"CZ0644","Breclav"
"CZ0645","Hodonin"
"CZ0646","Vyskov"
"CZ0647","Znojmo"
"CZ0711","Jesenik"
"CZ0712","Olomouc"
"CZ0713","Prostejov"
"CZ0714","Prerov"
"CZ0715","Sumperk"
"CZ0721","Kromeriz"
"CZ0722","Uherske Hradiste"
"CZ0723","Vsetin"
"CZ0724","Zlin"
"CZ0801","Bruntal"
"CZ0802","Frydek-Mistek"
"CZ0803","Karvina"
"CZ0804","Novy Jicin"
"CZ0805","Opava"
"CZ0806","Ostrava-mesto"
